*** True densities ***
( 31 , 0 )
( 32 , 0 )
( 33 , 0 )
( 34 , 0 )
( 35 , 0 )
( 36 , 0 )
( 37 , 0 )
( 38 , 0 )
( 39 , 0 )
( 40 , 0 )
( 41 , 0 )
( 42 , 0 )
( 43 , 0 )
Distance between prediction and measurement 0.03940042268
Distance between prediction and measurement 0.03842032010
